	id	title	year	genres	runtime	numvotes	rating	sub_id
1682	2402927	Carol	2015	['Drama', 'Romance']	118	99795	7.2	1955094861
1683	146675	End of Days	1999	['Action', 'Fantasy', 'Horror']	122	99772	5.7	1953096818
1684	929632	Precious	2009	['Drama']	110	99742	7.3	1952288185
1685	405296	A Scanner Darkly	2006	['Animation', 'Crime', 'Drama']	100	99698	7.1	1951699076
1686	4786282	Lights Out	2016	['Drama', 'Horror', 'Mystery']	81	99494	6.3	1955334712
1687	97351	Field of Dreams	1989	['Drama', 'Family', 'Fantasy']	107	99458	7.5	1951647014
1688	397101	The Skeleton Key	2005	['Drama', 'Horror', 'Mystery']	104	99435	6.5	1951645343
1689	353969	Memories of Murder	2003	['Action', 'Crime', 'Drama']	132	99379	8.1	1953234438
1690	419706	Doom	2005	['Action', 'Adventure', 'Horror']	105	99248	5.2	1951991892
1691	119395	The Jackal	1997	['Action', 'Crime', 'Drama']	124	99221	6.4	1951826320
1692	96928	Bill & Ted's Excellent Adventure	1989	['Adventure', 'Comedy', 'Music']	90	99052	6.9	228483
1693	1315981	A Single Man	2009	['Drama', 'Romance']	99	99042	7.6	1952330284
1694	227538	Spy Kids	2001	['Action', 'Adventure', 'Comedy']	88	99030	5.5	316214
1695	56801	8½	1963	['Drama']	138	98949	8.1	1952073478
1696	89881	Ran	1985	['Action', 'Drama']	162	98937	8.2	1951641463
1697	286499	Bend It Like Beckham	2002	['Comedy', 'Drama', 'Romance']	112	98909	6.7	125464
1698	67116	The French Connection	1971	['Action', 'Crime', 'Drama']	104	98895	7.8	29627
1699	384806	The Amityville Horror	2005	['Drama', 'Horror', 'Mystery']	90	98796	6.0	1951715904
1700	970866	Little Fockers	2010	['Comedy', 'Romance']	98	98720	5.5	1952823371
1701	426931	August Rush	2007	['Drama', 'Music']	114	98716	7.5	1951831765
1702	1206543	Out of the Furnace	2013	['Crime', 'Drama', 'Thriller']	116	98630	6.8	1954146661
1703	97814	Kiki's Delivery Service	1989	['Animation', 'Adventure', 'Drama']	103	98400	7.9	1951929290
1704	401383	The Diving Bell and the Butterfly	2007	['Biography', 'Drama']	112	98243	8.0	1951823777
1705	283111	Van Wilder	2002	['Comedy', 'Romance']	92	98227	6.4	1952551713
1706	92644	Beverly Hills Cop II	1987	['Action', 'Comedy', 'Crime']	100	98201	6.5	1952027457
1707	1509767	The Three Musketeers	2011	['Action', 'Adventure', 'Romance']	110	98140	5.8	1953026824
1708	2312718	Homefront	2013	['Action', 'Thriller']	100	98091	6.5	1954144139
1709	313737	Two Weeks Notice	2002	['Comedy', 'Romance']	101	97851	6.1	55566
1710	338337	Paycheck	2003	['Action', 'Crime', 'Drama']	119	97822	6.3	1952367518
1711	1567609	Get the Gringo	2012	['Action', 'Crime', 'Drama']	96	97714	7.0	1953160757
1712	31679	Mr. Smith Goes to Washington	1939	['Comedy', 'Drama']	129	97709	8.2	196625
1713	240890	Serendipity	2001	['Comedy', 'Romance']	90	97704	6.9	27101
1714	799949	Epic Movie	2007	['Adventure', 'Comedy']	86	97527	2.4	1951660222
1715	780653	The Wolfman	2010	['Drama', 'Fantasy', 'Horror']	103	97510	5.8	1952328751
1716	436697	The Queen	2006	['Biography', 'Drama', 'History']	103	97478	7.3	1951644945
1717	1622979	Final Destination 5	2011	['Horror']	92	97474	5.9	1952984314
1718	367959	Hannibal Rising	2007	['Adventure', 'Crime', 'Drama']	121	97372	6.2	1951664317
1719	75005	The Omen	1976	['Horror']	111	97177	7.6	1951935118
1720	368008	The Manchurian Candidate	2004	['Drama', 'Mystery', 'Sci-Fi']	129	97152	6.6	1951659136
1721	1073498	Meet the Spartans	2008	['Comedy']	86	97118	2.8	1951876124
1722	1682180	Stoker	2013	['Drama', 'Thriller']	99	97053	6.8	1953568944
1723	243133	The Man Who Wasn't There	2001	['Crime', 'Drama']	116	96965	7.6	1951730751
1724	236493	The Mexican	2001	['Adventure', 'Comedy', 'Crime']	123	96965	6.1	1952352938
1725	79944	Stalker	1979	['Drama', 'Sci-Fi']	162	96955	8.1	1954792973
1726	218967	The Family Man	2000	['Comedy', 'Drama', 'Fantasy']	125	96781	6.8	296619
1727	790686	Mirrors	2008	['Horror', 'Mystery']	110	96727	6.2	1951988992
1728	287467	Talk to Her	2002	['Drama', 'Mystery', 'Romance']	112	96718	8.0	1951638943
1729	433400	Just Friends	2005	['Comedy', 'Romance']	96	96622	6.2	1951688304
1730	164184	The Sum of All Fears	2002	['Action', 'Drama', 'Thriller']	124	96549	6.4	1951976165
1731	467200	The Other Boleyn Girl	2008	['Biography', 'Drama', 'History']	115	96540	6.7	1951875677
1732	865556	The Forbidden Kingdom	2008	['Action', 'Adventure', 'Fantasy']	104	96524	6.6	1951867414
1733	70666	Serpico	1973	['Biography', 'Crime', 'Drama']	130	96463	7.8	1952328522
